file,apk_entry,sha256_16,bytes,width,height,transparent_ratio,opaque_ratio,partial_alpha_ratio,unique_colors_64px,avg_rgb_stddev_64px,score,reasons
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__Pbs.png,res/Pbs.png,683691d79ef11e86,631,72,72,0.1914,0.7552,0.0534,95,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__PeQ.png,res/PeQ.png,08e82c30b7ccb89f,605,192,192,0.9603,0.0077,0.032,18,23.49,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__Thx.png,res/Thx.png,02ad0ea6ff5a560e,785,64,64,0.6885,0.0986,0.2129,78,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__avM.png,res/avM.png,0fbbb4a3477bb5fc,737,192,192,0.9601,0.0124,0.0276,28,9.93,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__cL9.png,res/cL9.png,50b96ef3e60dacdf,359,192,192,0.9894,0.0097,0.0009,23,33.7,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__d3e.png,res/d3e.png,2fa524cda78d7ebd,432,64,64,0.6323,0.186,0.1816,38,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__ff2.png,res/ff2.png,1f227f3de0b01e8d,3837,192,192,0.165,0.0,0.835,52,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__gj2.9.png,res/gj2.9.png,d68d03967fb222f7,237,72,72,0.9167,0.0833,0.0,5,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__hF7.png,res/hF7.png,144ebc94d37884ea,992,192,192,0.714,0.2709,0.0151,61,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__j4u.png,res/j4u.png,6002eb56783b956b,785,128,128,0.8733,0.0955,0.0312,64,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__jH2.png,res/jH2.png,0b2857878db04831,1299,144,144,0.5989,0.3709,0.0303,107,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__nf7.png,res/nf7.png,5e0799a0d0b5d43e,1208,96,96,0.7387,0.1163,0.145,81,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__o_c.png,res/o_c.png,d19092254aa4133f,651,64,64,0.7939,0.0459,0.1602,64,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__oiC.png,res/oiC.png,5d5cdbbe9dbdffe2,291,192,192,0.9887,0.0111,0.0002,14,48.2,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__pk9.png,res/pk9.png,b0aa010e7a885e4b,275,128,128,0.8668,0.1194,0.0138,22,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__rNu.png,res/rNu.png,64bcbf053403b6cd,790,144,144,0.6753,0.3096,0.0151,102,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__tGL.png,res/tGL.png,52a0358e54439373,476,128,128,0.7161,0.2708,0.0132,38,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__tWf.png,res/tWf.png,a4ae56c1d424b05e,1843,512,512,0.9662,0.0152,0.0186,43,7.33,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__u58.png,res/u58.png,29e6d3ae7694c18b,1446,512,512,0.9702,0.0119,0.0179,62,7.64,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__xqP.png,res/xqP.png,29e6d3ae7694c18b,1446,512,512,0.9702,0.0119,0.0179,62,7.64,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__ydx.png,res/ydx.png,8349fa73b2fc45a9,810,144,144,0.7657,0.2191,0.0152,87,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__zin.png,res/zin.png,4aebb9982579a9b3,691,144,144,0.7564,0.2275,0.0161,111,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__0cZ.9.png,res/0cZ.9.png,f94e2129180c0ba6,267,16,16,0.75,0.0,0.25,4,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__0x8.9.png,res/0x8.9.png,636d7f24be686e95,209,12,12,0.0,0.0,1.0,1,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__2dI.png,res/2dI.png,9f856dd00a4f281d,145,12,12,0.0278,0.5278,0.4444,13,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__3u9.9.png,res/3u9.9.png,4f186547c3fe5796,258,42,126,0.0,0.0,1.0,2,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__42p.9.png,res/42p.9.png,727d78fec3f903a2,214,12,12,0.0,0.0,1.0,1,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__49h.png,res/49h.png,4f2f8c2a7b042e55,595,54,54,0.1578,0.7202,0.1221,72,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__5Dk.9.png,res/5Dk.9.png,991f73be600ad882,272,24,24,0.8299,0.0,0.1701,4,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__5U-.png,res/5U-.png,a475594ae7c77109,396,30,36,0.2694,0.6213,0.1093,81,53.24,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__65N.9.png,res/65N.9.png,cc162d4b8c12ee32,235,28,84,0.0,0.0,1.0,2,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__6tg.png,res/6tg.png,5eca0280bd38a688,227,48,48,0.7587,0.0764,0.1649,20,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__7iE.png,res/7iE.png,5080b07eb486ba05,464,48,48,0.7569,0.0521,0.191,52,0.0,7,alpha+low-colors+low-stddev
